cell_id,task_id,pair_id,pair_variant,view_id,tool_pool_size,pool_repeat,selected_tool_id,exactly_one_tool_call,arguments_json_valid,arguments_exact,primary_endpoint_hit,family_hit,alternative_hit,scientific_hit,primary_end_to_end,scientific_end_to_end,finish_reason,error_type,reasoning_content_observed,reasoning_token_count,api_latency_ms
A002-A003-FS-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,67,2508.1661
A002-A003-FS-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,40,1833.713
A002-A003-FS-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,54,2604.4125
A002-A003-FS-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,117,2048.6598
A002-A003-FS-R1-E3-MP-H2SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-H2SO4-MOLAR-MASS,PAIR-A002-A003-H2SO4,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,60,2243.8413
A002-A003-FS-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,48,1898.7285
A002-A003-FS-R1-E3-MP-CACO3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,73,2143.747
A002-A003-FS-R1-E3-MP-CACO3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,133,2176.7247
A002-A003-FS-R1-E3-MP-CACO3-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CACO3-ELEMENTS,PAIR-A002-A003-CACO3,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,77,5280.4856
A002-A003-FS-R1-E3-MP-CACO3-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CACO3-MOLAR-MASS,PAIR-A002-A003-CACO3,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,85,2168.5729
A002-A003-FS-R1-E3-MP-CACO3-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CACO3-MOLAR-MASS,PAIR-A002-A003-CACO3,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,155,2608.1734
A002-A003-FS-R1-E3-MP-CACO3-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CACO3-MOLAR-MASS,PAIR-A002-A003-CACO3,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,55,2938.4489
A002-A003-FS-R1-E3-MP-CACO3-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CACO3-MOLAR-MASS,PAIR-A002-A003-CACO3,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,87,2429.7832
A002-A003-FS-R1-E3-MP-CUSO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CUSO4-ELEMENTS,PAIR-A002-A003-CUSO4,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,43,2108.5036
A002-A003-FS-R1-E3-MP-CUSO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CUSO4-ELEMENTS,PAIR-A002-A003-CUSO4,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,83,2375.8378
A002-A003-FS-R1-E3-MP-CUSO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CUSO4-ELEMENTS,PAIR-A002-A003-CUSO4,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,,False,False,False,False,False,False,False,False,False,length,no_single_tool_call_length,True,256,3180.7186
A002-A003-FS-R1-E3-MP-CUSO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CUSO4-ELEMENTS,PAIR-A002-A003-CUSO4,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,42,2144.1132
A002-A003-FS-R1-E3-MP-CUSO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CUSO4-MOLAR-MASS,PAIR-A002-A003-CUSO4,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,61,1745.0995
A002-A003-FS-R1-E3-MP-CUSO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CUSO4-MOLAR-MASS,PAIR-A002-A003-CUSO4,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,80,1954.3838
A002-A003-FS-R1-E3-MP-CUSO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CUSO4-MOLAR-MASS,PAIR-A002-A003-CUSO4,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,101,2454.0268
A002-A003-FS-R1-E3-MP-CUSO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CUSO4-MOLAR-MASS,PAIR-A002-A003-CUSO4,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,39,2188.0823
A002-A003-FS-R1-E3-MP-NH4_2SO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-NH4_2SO4-ELEMENTS,PAIR-A002-A003-NH4_2SO4,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,41,1925.9966
A002-A003-FS-R1-E3-MP-NH4_2SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-NH4_2SO4-ELEMENTS,PAIR-A002-A003-NH4_2SO4,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,113,1880.4903
A002-A003-FS-R1-E3-MP-NH4_2SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-NH4_2SO4-ELEMENTS,PAIR-A002-A003-NH4_2SO4,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,172,2914.0923
A002-A003-FS-R1-E3-MP-NH4_2SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-NH4_2SO4-ELEMENTS,PAIR-A002-A003-NH4_2SO4,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,59,2281.3251
A002-A003-FS-R1-E3-MP-NH4_2SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-NH4_2SO4-MOLAR-MASS,PAIR-A002-A003-NH4_2SO4,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,94,1767.6961
A002-A003-FS-R1-E3-MP-NH4_2SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-NH4_2SO4-MOLAR-MASS,PAIR-A002-A003-NH4_2SO4,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,94,2048.2891
A002-A003-FS-R1-E3-MP-NH4_2SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-NH4_2SO4-MOLAR-MASS,PAIR-A002-A003-NH4_2SO4,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,,False,False,False,False,False,False,False,False,False,length,no_single_tool_call_length,True,256,3172.2913
A002-A003-FS-R1-E3-MP-NH4_2SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-NH4_2SO4-MOLAR-MASS,PAIR-A002-A003-NH4_2SO4,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,52,2162.9561
A002-A003-FS-R1-E3-MP-CA_OH_2-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CA_OH_2-ELEMENTS,PAIR-A002-A003-CA_OH_2,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,63,2016.2271
A002-A003-FS-R1-E3-MP-CA_OH_2-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CA_OH_2-ELEMENTS,PAIR-A002-A003-CA_OH_2,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,124,2434.9942
A002-A003-FS-R1-E3-MP-CA_OH_2-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CA_OH_2-ELEMENTS,PAIR-A002-A003-CA_OH_2,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,43,2239.0012
A002-A003-FS-R1-E3-MP-CA_OH_2-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CA_OH_2-ELEMENTS,PAIR-A002-A003-CA_OH_2,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,85,2376.4293
A002-A003-FS-R1-E3-MP-CA_OH_2-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CA_OH_2-MOLAR-MASS,PAIR-A002-A003-CA_OH_2,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,A003,True,True,True,True,True,False,True,True,True,length,none,True,210,2713.9752
A002-A003-FS-R1-E3-MP-CA_OH_2-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CA_OH_2-MOLAR-MASS,PAIR-A002-A003-CA_OH_2,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,50,2095.7168
A002-A003-FS-R1-E3-MP-CA_OH_2-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CA_OH_2-MOLAR-MASS,PAIR-A002-A003-CA_OH_2,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,,False,False,False,False,False,False,False,False,False,length,no_single_tool_call_length,True,256,2966.4316
A002-A003-FS-R1-E3-MP-CA_OH_2-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CA_OH_2-MOLAR-MASS,PAIR-A002-A003-CA_OH_2,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,79,2141.5402
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-ELEMENTS,PAIR-A002-A003-CU_NH3_4_SO4,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,101,2412.9756
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-ELEMENTS,PAIR-A002-A003-CU_NH3_4_SO4,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,72,2045.3771
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-ELEMENTS,PAIR-A002-A003-CU_NH3_4_SO4,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,167,2935.5132
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-ELEMENTS,PAIR-A002-A003-CU_NH3_4_SO4,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,67,2164.5145
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,150,2219.6033
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,68,2257.01
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,184,3084.7698
A002-A003-FS-R1-E3-MP-CU_NH3_4_SO4-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-CU_NH3_4_SO4-MOLAR-MASS,PAIR-A002-A003-CU_NH3_4_SO4,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,,False,False,False,False,False,False,False,False,False,length,no_single_tool_call_length,True,242,2869.279
A002-A003-FS-R1-E3-MP-FES-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,57,2032.6521
A002-A003-FS-R1-E3-MP-FES-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,66,1878.9784
A002-A003-FS-R1-E3-MP-FES-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,,False,False,False,False,False,False,False,False,False,length,no_single_tool_call_length,True,240,3106.3426
A002-A003-FS-R1-E3-MP-FES-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-FES-ELEMENTS,PAIR-A002-A003-FES,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,57,2115.044
A002-A003-FS-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,73,2097.2121
A002-A003-FS-R1-E3-MP-FES-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,79,2241.7135
A002-A003-FS-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,116,2355.5109
A002-A003-FS-R1-E3-MP-FES-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-FES-MOLAR-MASS,PAIR-A002-A003-FES,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,45,2079.1977
